lead_time,avg_price_per_room,no_of_special_requests,arrival_date,arrival_month,market_segment_type,no_of_week_nights,no_of_weekend_nights,no_of_adults,arrival_year,booking_status
26,161.0,0,17,10,4,1,2,2,2017,1
98,121.5,2,16,7,4,1,1,2,2018,1
433,70.0,0,8,9,3,3,0,2,2018,0
195,72.25,0,8,8,3,5,2,2,2018,1
188,130.0,0,15,6,3,2,0,1,2018,0
74,112.5,1,6,4,4,3,0,2,2018,0
273,95.0,0,13,5,3,2,1,2,2018,0
6,66.3,0,15,12,4,3,1,2,2018,1
89,83.66,1,21,3,4,5,2,2,2018,1
56,180.0,1,20,3,4,0,2,2,2018,0
103,114.3,1,12,7,4,5,1,2,2018,1
155,117.42,0,30,8,4,11,4,1,2018,0
3,128.8,0,11,6,4,1,0,2,2018,1
180,120.0,0,10,10,3,2,1,1,2018,0
92,89.85,2,12,7,4,4,0,2,2018,1
56,82.0,0,17,9,3,2,0,2,2017,1
279,110.0,0,12,10,4,3,0,2,2018,0
134,114.3,1,10,8,4,2,0,2,2018,1
8,139.0,1,25,3,4,2,0,2,2018,1
10,172.0,2,29,4,4,2,2,3,2018,1
2,148.0,1,21,8,4,0,2,2,2018,1
52,79.5,1,26,2,4,2,1,2,2018,0
116,61.0,0,28,2,3,1,2,1,2018,0
89,186.3,0,21,7,4,2,0,2,2018,0
193,120.0,0,20,6,4,2,1,2,2018,0
92,90.0,0,11,11,3,1,0,2,2018,1
95,130.5,1,1,7,4,3,2,2,2018,1
6,109.0,1,4,2,4,3,1,2,2018,0
60,106.2,1,1,4,4,2,1,2,2018,1
359,105.0,1,16,9,4,2,2,2,2018,0
67,88.4,2,23,11,4,4,0,2,2018,0
177,123.75,0,3,8,4,4,1,2,2018,0
101,54.06,0,12,4,4,5,1,2,2018,1
15,80.0,0,19,2,2,1,0,1,2018,1
30,94.2,0,31,8,4,1,0,1,2018,1
89,128.85,0,8,5,4,2,2,2,2018,1
21,133.5,0,29,9,4,4,0,2,2017,0
6,70.0,0,5,8,3,4,2,2,2017,1
135,119.85,2,16,6,4,3,1,2,2018,1
1,0.0,0,2,3,4,1,0,1,2018,1
37,145.8,2,21,9,4,3,1,2,2017,1
45,75.0,1,7,11,3,5,2,2,2018,1
168,72.25,2,12,8,3,3,2,2,2018,1
143,100.3,0,2,6,4,3,2,2,2018,0
25,75.2,0,29,11,4,1,0,1,2018,1
102,101.5,0,16,10,4,2,0,2,2017,0
4,81.6,2,5,12,3,2,2,2,2017,1
108,108.0,2,17,10,4,3,1,2,2018,1
8,65.0,1,28,7,2,1,0,1,2018,1
56,185.0,0,25,9,3,2,2,2,2017,1
12,220.0,0,19,8,4,1,0,2,2018,0
0,80.0,0,23,8,4,0,1,1,2017,1
37,75.0,1,30,10,3,1,2,2,2018,1
0,158.0,0,9,5,4,1,1,3,2018,1
39,87.0,0,14,8,3,2,0,1,2017,1
